name,category,description
Melts Meal for 1 with Fries - Veg,"New MELTS - Crispy, Cheesy, Loaded",Serves 1 | Choose your favourite Melts & Fries. Customize your satisfaction.
Melts 3 Course Meal for 1 - Veg,"New MELTS - Crispy, Cheesy, Loaded","Serves 1 | The perfect ""Me Time"" meal. Choose your favourite Melts and Fries accompanied with 1 Pepsi PET"
Melts Meal for 1 with Fries Non-Veg,"New MELTS - Crispy, Cheesy, Loaded",Serves 1 | Choose your favourite Melts & Fries combo. Customize your satisfaction.
Melts 3 Course Meal for 1 Non-Veg,"New MELTS - Crispy, Cheesy, Loaded","Serves 1 | The perfect ""Me Time"" meal. Choose your favourite Melts and Fries accompanied with 1 Pepsi PET"
Create your Melts Box of 2 - Veg,"New MELTS - Crispy, Cheesy, Loaded","Serves 1 | Choose any 2 Melts flavour. Double the flavour, double the satisfaction"
Cheezy Cheese Veg & Loaded BBQ Veg Combo,"New MELTS - Crispy, Cheesy, Loaded",Serves 1 | Double the satisfaction with Cheezy Cheese Veg & Loaded BBQ Veg Melts.
Create your Melts Box of 2 Non-Veg,"New MELTS - Crispy, Cheesy, Loaded","Serves 1 | Choose any 2 Melts flavour. Double the flavour, double the satisfaction"
Cheezy Cheese Chicken & Loaded BBQ Non-Veg Combo,"New MELTS - Crispy, Cheesy, Loaded",Serves 1 | Satisfy your non veg cravings with Cheezy Cheese Chicken & Loaded Chicken BBQ Melts.
Makhni Paneer & Chicken Tikka Keema Combo,"New MELTS - Crispy, Cheesy, Loaded",Serves 1 | Satisfy your desi flavour cravings with Makhni Paneer & Chicken Tikka Keema Melts
Margherita,Veg Pizza,Pizza topped with our herb-infused signature pan sauce and 100% mozzarella cheese. A classic treat for all cheese lovers out there!
Veggie Feast,Veg Pizza,"Serves 1 | Herbed onion and Green Capsicum, juicy Sweet Corn & 100% mozzarella cheese with flavourful pan sauce."
Tandoori Paneer,Veg Pizza,"Serves 1 | It's our signature. Spiced Paneer, Crunchy Onions & Green Capsicum, spicy Red Paprika with delicious Tandoori Sauce and 100% mozzarella cheese!"
Country Feast,Veg Pizza,"Serves 1 | Loaded with Herbed Onion & Green capsicum, Sweet Corn, Tomato with signature pan sauce and 100% Mozzarella cheese. It's a feast you can't refuse."
Veggie Supreme,Veg Pizza,"Serves 1 | A supreme combination of Black Olives, Green Capsicum, Mushroom, Onion, spicy Red Paprika & juicy Sweet Corn  with flavourful pan sauce and 100% mozzarella cheese."
Chicken Tikka,Non Veg Pizza,"Serves 1 | Mouth-watering Chicken Tikka, crunchy Onion & Tomato with delicious Tandoori Sauce and 100% mozzarella cheese."
Chicken Supreme,Non Veg Pizza,"Serves 1 | Loaded with delicious Chicken Tikka, flavourful Herbed Chicken, spicy Schezwan Chicken Meatball with flavourful pan sauce and 100% mozzarella cheese."
Triple Chicken Feast,Non Veg Pizza,"Serves 1 | Spicy Schezwan Chicken Meatball, flavourful  Herbed Chicken, juicy Chicken Sausage, Green Capsicum & Onion, spicy Red Paprika with classic pan sauce and 100% mozzarella cheese."
Exotica Veggie Garlic Bread - New,Garlic Bread,Serves 1 | Hut's signature Garlic Bread topped with spiced exotic veggies and cheesy dressing
Loaded Breadstix,Garlic Bread,"Serves 1 | Freshly baked bread sticks, topped with cheesy dressing & herbs."
Garlic Bread Spicy Supreme,Garlic Bread,"Serves 1 | Garlic bread topped with (Mozzarella cheeese, onion & green chillies)."
Schezwan Margherita,Veg Pizza,"Serves 1 | Your very own Margherita, now with a spicy twist! Loaded with our signature spicy schezwan sauce & 100% mozzarella cheese"
Mexican Fiesta,Veg Pizza,"Serves 1 | Flavourful mix of red capsicum, green capsicum, jalapeno, onion, black olives, sweet corn and 100% mozzarella Cheese with a signature spice sprinkle & our flavourful pan sauce."
Bold BBQ Veggies,Veg Pizza,"Serves 1 | Our signature pan sauce, with BBQ Sauce drizzle, topped with mushroom, onion, green capsicum, & red paprika"
Ultimate Tandoori Veggie,Veg Pizza,"Serves 1 | An ultimate combination of your favourite veggies- onion, green capsicum, mushroom, tomato, spicy jalapeno on tandoori sauce, topped with 100% mozzarella cheese & generous drizzle of mint mayo."
Mazedar Makhni Paneer,Veg Pizza,"Serves 1 | A treat for all makhni lovers. Spiced paneer, onion, juicy red bell peppers with our new flavourful makhni sauce, topped with 100% mozzarella cheese and buttery spice sprinkle"
Awesome American Cheesy,Veg Pizza,"Serves 1 | Our divine peruvian flavoured cheesy sauce, topped with sweet corn, green capsicum, red paprika and 100% mozzarella cheese, finished with a generous drizzle of texas garlic sauce."
Margherita,Veg Pizza,Pizza topped with our herb-infused signature pan sauce and 100% mozzarella cheese. A classic treat for all cheese lovers out there!
Corn & Cheese,Veg Pizza,Serves 1 | A combination of juicy Sweet Corn & 100% mozzarella cheese with flavourful signature pan sauce.
Veggie Feast,Veg Pizza,"Serves 1 | Herbed onion and Green Capsicum, juicy Sweet Corn & 100% mozzarella cheese with flavourful pan sauce."
Spiced Paneer,Veg Pizza,"Serves 1 | Spiced Paneer, crunchy Onion, juicy Tomato  & 100% mozzarella cheese, with our classic pan sauce."
Tandoori Paneer,Veg Pizza,"Serves 1 | It's our signature. Spiced Paneer, Crunchy Onions & Green Capsicum, spicy Red Paprika with delicious Tandoori Sauce and 100% mozzarella cheese!"
Country Feast,Veg Pizza,"Serves 1 | Loaded with Herbed Onion & Green capsicum, Sweet Corn, Tomato with signature pan sauce and 100% Mozzarella cheese. It's a feast you can't refuse."
Veggie Supreme,Veg Pizza,"Serves 1 | A supreme combination of Black Olives, Green Capsicum, Mushroom, Onion, spicy Red Paprika & juicy Sweet Corn  with flavourful pan sauce and 100% mozzarella cheese."
Margherita Pizza,Veg Pizza,Serves 1 | Pizza topped with our herb-infused signature pan sauce and 100% mozzarella cheese. A classic treat for all cheese lovers out there!
Sausage & Sweet Corn.,Non Veg Pizza,"Serves 1 | Our classic chicken & cheese sausage, juicy sweet corn and 100% mozzarella cheese with flavourful pan sauce"
Dhabe Da Keema,Non Veg Pizza,"Serves 1 | Dhaba style chicken keema masala, with green chiili, crunchy onion with flavourful pan sauce, 100 % mozzarella cheese & a generous drizzle of mint mayo"
Sizzling Schezwan Chicken,Non Veg Pizza,"Serves 1 | Loaded with our signature spicy schezwan sauce, juicy schezwan chicken meatballs & 100% mozzarella cheese"
Awesome American Cheesy Chicken,Non Veg Pizza,"Serves 1 | Our divine peruvian flavoured cheesy sauce, topped with classic chicken pepperoni, cheese and chicken sausage black olives, spicy jalapeno and 100% mozzarella cheese, finished with a generous drizzle of texas garlic sauce."
Nawabi Murg Makhni,Non Veg Pizza,"Serves 1 | A chicken lovers delight ! Combination of chicken malai tikka, flavourful chicken keema masala, crunchy onion, juicy tomato on our new makhni sauce with 100% mozzarella cheese and buttery spice sprinkle."
Chicken Sausage,Non Veg Pizza,"Serves 1 | Pizza topped with Chicken n Cheese Sausages & crunchy Onions, flavourful pan sauce and 100% mozzarella cheese."
Murg Malai Chicken,Non Veg Pizza,"Serves 1 | Amazingly flavourful Chicken Malai Tikka, Herbed Onion & Green Capsicum, spicy Red Paprika with flavourful pan sauce and 100% mozzarella cheese."
Chicken Tikka,Non Veg Pizza,"Serves 1 | Mouth-watering Chicken Tikka, crunchy Onion & Tomato with delicious Tandoori Sauce and 100% mozzarella cheese."
Chicken Pepperoni,Non Veg Pizza,Serves 1 | Yummy Chicken Pepperoni & 100% mozzarella cheese with signature pan sauce. Its a classic!
Chicken Supreme,Non Veg Pizza,"Serves 1 | Loaded with delicious Chicken Tikka, flavourful Herbed Chicken, spicy Schezwan Chicken Meatball with flavourful pan sauce and 100% mozzarella cheese."
Chicken Tikka Supreme,Non Veg Pizza,"Serves 1 | A divine combination of delicious Chicken Tikka &  Malai Chicken Tikka, Onion, spicy Red Paprika with flavourful pan sauce and 100% mozzarella cheese."
Triple Chicken Feast,Non Veg Pizza,"Serves 1 | Spicy Schezwan Chicken Meatball, flavourful  Herbed Chicken, juicy Chicken Sausage, Green Capsicum & Onion, spicy Red Paprika with classic pan sauce and 100% mozzarella cheese."
Exotica Veggie Garlic Bread - New,Garlic Bread,Serves 1 | Hut's signature Garlic Bread topped with spiced exotic veggies and cheesy dressing
Loaded Breadstix,Garlic Bread,"Serves 1 | Freshly baked bread sticks, topped with cheesy dressing & herbs."
Cheese Garlic Bread,Garlic Bread,Serves 1 | Nothing beats our garlic bread! Period!
Garlic Bread Spicy Supreme,Garlic Bread,"Serves 1 | Garlic bread topped with (Mozzarella cheeese, onion & green chillies)."
Cheezy Sprinkled Fries,Appetizer,Serves 1 | Baked Fries seasoned with Cheezy Seasoning
BBQ Baked Chicken Wings (6 pcs),Appetizer,"Serves 1 | All New Baked BBQ chicken wings. Its juicy, spicy & so much flaourful"
BBQ Baked Chicken Wings (4 pcs),Appetizer,"Serves 1 | All New Baked BBQ chicken wings. Its juicy, spicy & so much flaourful"
Sprinkled Fries - New,Appetizer,Serves 1 | Baked Fries seasoned with our signature peruvian seasoning
Zesty Paneer Pocket,Appetizer,"Serves 1 | Freshly baked pocket stuffed with flavourful paneer, veggies & smoked texas garlic sauce"
Zesty Chicken Pocket,Appetizer,"Serves 1 | Freshly baked pocket stuffed with chicken, veggies & smoked texas garlic sauce"
Spicy Baked Chicken Wings (4 pcs),Appetizer,Serves 1 | 4 pcs of Tender and Juicy sweet chilly chicken wings.
Spicy Baked Chicken Wings,Appetizer,Serves 1 | Tender and Juicy sweet chilli chicken wings.
Tear & Share Veg,Appetizer,"Serves 1 | Garlic bread stix stuffed & topped with Mozzarella Cheese, creamy mayo and Jalapeno. Cheese lovers delight. Tear it to share it !"
Tear & Share Non-Veg,Appetizer,"Serves 1 | Garlic bread stix stuffed & topped with Mozzarella Cheese, creamy mayo and Chicken Pepperoni. Cheese lovers delight. Tear it to share it !"
Cheesy Dip,Appetizer,Serves 1 | Cheesy Jalapeno Dip 20 Gm
Tomato Ketchup,Appetizer,Serves 1 | Ketchup Sachet
Momo Dip,Appetizer,Serves 1 | Schezwan Dip
Margherita - Personal,Flat Menu @179,Pizza topped with our herb-infused signature pan sauce and 100% mozzarella cheese. A classic treat for all cheese lovers out there!
Corn & Cheese - Personal,Flat Menu @179,Serves 1 | A combination of juicy Sweet Corn & 100% mozzarella cheese with flavourful signature pan sauce.
Schezwan Margherita - Personal,Flat Menu @179,"Serves 1 | Your very own Margherita, now with a spicy twist! Loaded with our signature spicy schezwan sauce & 100% mozzarella cheese"
Classic Breadstix + Pepsi Pet,Flat Menu @179,Serves 1 | Enjoy Classic Breadstix & Pepsi. Freshly baked Classic BreadStix + gooey sauce = an unbeatable combo!
Classic BreadStix + Classic BreadStix,Flat Menu @179,Serves 1 | Freshly baked 2 Classic BreadStix ! The perfect pairing with your delicious pizza or on their own as a snack.
Spiced Paneer - Personal,Flat Menu @179,"Serves 1 | Spiced Paneer, crunchy Onion, juicy Tomato & 100% mozzarella cheese, with our classic pan sauce."
Veggie Feast - Personal,Flat Menu @179,"Serves 1 | Herbed onion and Green Capsicum, juicy Sweet Corn & 100% mozzarella cheese with flavourful pan sauce."
Country Feast - Personal,Flat Menu @179,"Serves 1 | Loaded with Herbed Onion & Green capsicum, Sweet Corn, Tomato & Mushroom with signature pan sauce and 100% mozzarella cheese. It's a feast you can't refuse."
Mexican Fiesta - Personal,Flat Menu @179,"Serves 1 | Flavourful mix of red capsicum, green capsicum, jalapeno, onion, black olives, sweet corn and 100% mozzarella Cheese with a signature spice sprinkle & our flavourful pan sauce."
Tandoori Paneer - Personal,Flat Menu @179,"Serves 1 | It's our signature. Spiced Paneer, Crunchy Onions & Green Capsicum, spicy Red Paprika with delicious Tandoori Sauce and 100% mozzarella cheese!"
Awesome American Cheesy - Personal,Flat Menu @179,"Our divine peruvian flavoured cheesy sauce, topped with sweet corn, green capsicum, red paprika and 100% mozzarella cheese, finished with a generous drizzle of texas garlic sauce."
Mazedar Makhni Paneer - Personal,Flat Menu @179,"A treat for all makhni lovers. Spiced paneer, onion, juicy red bell peppers with our new flavourful makhni sauce, topped with 100% mozzarella cheese and buttery spice sprinkle"
Ultimate Tandoori Veggie - Personal,Flat Menu @179,"An ultimate combination of your favourite veggies- onion, green capsicum, mushroom, tomato, spicy jalapeno on tandoori sauce, topped with 100% mozzarella cheese & generous drizzle of mint mayo."
Masala Keema Garlic Bread,Flat Menu @179,"Serves 1 | Hut's signature Garlic Bread topped with chicken keema masala, onion and green chilli & cheesy dressing. A must try!"
Veggie Supreme - Personal,Flat Menu @179,"A supreme combination of Black Olives, Green Capsicum, Mushroom, Onion, spicy Red Paprika & juicy Sweet Corn with flavourful pan sauce and 100% mozzarella cheese."
Chicken Sausage - Personal,Flat Menu @179,"Serves 1 | Pizza topped with Chicken n Cheese Sausages & crunchy Onions, flavourful pan sauce and 100% mozzarella cheese."
Sausage & Sweet Corn - Personal,Flat Menu @179,"Serves 1 | Our classic chicken & cheese sausage, juicy sweet corn and 100% mozzarella cheese with flavourful pan sauce"
Dhabe Da Keema - Personal,Flat Menu @179,"Dhaba style chicken keema masala, with green chiili, crunchy onion with flavourful pan sauce, 100 % mozzarella cheese & a generous drizzle of mint mayo"
Sizzling Schezwan Chicken - Personal,Flat Menu @179,"Loaded with our signature spicy schezwan sauce, juicy schezwan chicken meatballs & 100% mozzarella cheese"
Chicken Pepperoni - Personal,Flat Menu @179,Yummy Chicken Pepperoni & 100% mozzarella cheese with signature pan sauce. Its a classic!
Chicken Tikka - Personal,Flat Menu @179,"Mouth-watering Chicken Tikka, crunchy Onion & Tomato with delicious Tandoori Sauce and 100% mozzarella cheese."
Murg Malai Chicken - Personal,Flat Menu @179,"Amazingly flavourful Chicken Malai Tikka, Herbed Onion & Green Capsicum, spicy Red Paprika with flavourful pan sauce and 100% mozzarella cheese."
